2026-07-13 19:08:29 | INFO     | worldbank_connector | main:115 | Demarrage du connecteur Banque mondiale - BF Pulse.
2026-07-13 19:08:29 | INFO     | worldbank_connector | main:116 | Configuration chargee : pays cible=BFA, source WB=toutes, quota API=120 req/min, base=https://api.worldbank.org/v2
2026-07-13 19:08:29 | ERROR    | worldbank_connector | database:132 | Connexion PostgreSQL impossible : (psycopg2.OperationalError) connection to server at "localhost" (127.0.0.1), port 5432 failed: fe_sendauth: no password supplied

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-07-13 19:08:29 | ERROR    | worldbank_connector | main:130 | Impossible de se connecter a PostgreSQL. Verifiez les parametres DB_* du fichier .env.
2026-07-13 19:09:50 | INFO     | worldbank_connector | main:115 | Demarrage du connecteur Banque mondiale - BF Pulse.
2026-07-13 19:09:50 | INFO     | worldbank_connector | main:116 | Configuration chargee : pays cible=BFA, source WB=2, quota API=120 req/min, base=https://api.worldbank.org/v2
2026-07-13 19:09:50 | INFO     | worldbank_connector | database:122 | Verification/creation des tables PostgreSQL...
2026-07-13 19:09:50 | INFO     | worldbank_connector | database:124 | Tables pretes : sources, datasets, indicators, observations.
2026-07-13 19:09:50 | INFO     | worldbank_connector | discover:95 | Recuperation des indicateurs de la source Banque mondiale id=2...
2026-07-13 19:10:50 | WARNING  | worldbank_connector | client:177 | Erreur reseau sur https://api.worldbank.org/v2/source/2/indicator (tentative 1/3) : HTTPSConnectionPool(host='api.worldbank.org', port=443): Read timed out. (read timeout=60)
2026-07-13 19:10:50 | INFO     | worldbank_connector | client:193 | Nouvelle tentative dans 5 secondes...
2026-07-13 19:11:55 | WARNING  | worldbank_connector | client:177 | Erreur reseau sur https://api.worldbank.org/v2/source/2/indicator (tentative 2/3) : HTTPSConnectionPool(host='api.worldbank.org', port=443): Read timed out. (read timeout=60)
2026-07-13 19:11:55 | INFO     | worldbank_connector | client:193 | Nouvelle tentative dans 10 secondes...
2026-07-13 19:12:05 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/source/2/indicator [200] (1083904 octets)
2026-07-13 19:13:05 | WARNING  | worldbank_connector | client:177 | Erreur reseau sur https://api.worldbank.org/v2/source/2/indicator (tentative 1/3) : HTTPSConnectionPool(host='api.worldbank.org', port=443): Read timed out. (read timeout=60)
2026-07-13 19:13:05 | INFO     | worldbank_connector | client:193 | Nouvelle tentative dans 5 secondes...
2026-07-13 19:13:11 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/source/2/indicator [200] (417198 octets)
2026-07-13 19:13:11 | INFO     | worldbank_connector | discover:120 | 1510 indicateurs trouves.
2026-07-13 19:13:11 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Fertilizer consumption (% of fertilizer production)' (AG.CON.FERT.PT.ZS)...
2026-07-13 19:13:27 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.CON.FERT.PT.ZS [200] (328 octets)
2026-07-13 19:13:27 | INFO     | worldbank_connector | discover:198 | -> AG.CON.FERT.PT.ZS contient 66 observation(s) pour BFA.
